Rank,Name,Position,DOB,Highest Level,Age,Career WAR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,Career Earnings
11,Gerrit Cole,RHP,9/8/1990,other,21.00,43.20,,,,,"$297,213.00","$512,500.00","$531,000.00","$548,000.00","$3,750,000.00","$6,750,000.00","$13,500,000.00","$13,333,333.00","$36,000,000.00","$36,000,000.00","$36,000,000.00","$36,000,000.00","$36,000,000.00","$36,000,000.00","$36,000,000.00","$36,000,000.00",,,,,,,,,,,,,,,"$327,222,046"
12,Jesús Montero,C,11/28/1989,MLB,22.00,-0.40,,,"$414,000.00","$486,900.00","$503,300.00",,"$194,125.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,184,325"
13,Manny Bañuelos,LHP,3/13/1991,AAA,20.00,-0.90,,,,,,,"$263,456.00",,,,"$559,000.00",,,"$476,904.00",,,,,,,,,,,,,,,,,,,,,"$1,299,360"
14,Devin Mesoraco,C,6/19/1988,MLB,23.00,4.50,,,"$414,000.00","$480,000.00","$497,500.00","$525,000.00","$2,900,000.00","$4,900,000.00","$7,200,000.00","$13,125,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$29,627,500"
15,Jacob Turner,RHP,5/21/1991,MLB,20.00,-2.60,,"$1,175,000.00","$1,175,000.00","$1,175,000.00","$1,175,000.00","$1,000,000.00","$1,000,000.00","$1,500,000.00","$535,000.00","$11,720.00",,,,,,,,,,,,,,,,,,,,,,,,,"$6,396,720"
16,Danny Hultzen,LHP,11/28/1989,other,22.00,0.20,,,"$1,700,000.00","$1,700,000.00","$1,700,000.00","$1,700,000.00","$1,700,000.00",,,,"$68,632.00",,,,,,,,,,,,,,,,,,,,,,,,"$6,868,632"
17,Bubba Starling,OF,8/3/1992,other,19.00,-1.80,,,,,,,,,"$108,151.00",,"$238,720.00","$210,463.00",,,,,,,,,,,,,,,,,,,,,,,"$557,334"
18,Taijuan Walker,RHP,8/13/1992,A,19.00,12.70,,,,,"$205,800.00","$304,734.00","$513,100.00","$485,352.00","$2,250,000.00","$4,825,000.00","$5,025,000.00","$1,111,111.00","$10,000,000.00","$10,000,000.00",,,,,,,,,,,,,,,,,,,,,"$34,720,097"
19,Wil Myers,OF,12/10/1990,AA,21.00,13.20,,,,,"$278,469.00","$504,200.00","$519,800.00","$523,900.00","$17,000,000.00","$2,000,000.00","$3,000,000.00","$7,407,407.00","$20,000,000.00","$21,000,000.00","$7,500,000.00","$1,500,000.00",,,,,,,,,,,,,,,,,,,"$81,233,776"
20,Archie Bradley,RHP,8/10/1992,CPX | DSL | R,19.00,5.60,,,,,,,"$391,024.00","$360,490.00","$544,100.00","$581,900.00","$1,830,000.00","$1,518,519.00","$6,000,000.00","$3,750,000.00","$69,678.00",,,,,,,,,,,,,,,,,,,,"$15,045,711"
21,Tyler Skaggs,LHP,7/13/1991,AA,20.00,3.60,,,,"$480,000.00","$56,229.00","$502,250.00","$515,000.00","$515,000.00","$555,000.00","$1,875,000.00","$3,700,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$8,198,479"
22,Nolan Arenado,3B,4/16/1991,A+,20.00,57.80,,,,,"$415,027.00","$500,000.00","$512,500.00","$5,000,000.00","$11,750,000.00","$17,272,850.00","$26,050,000.00","$12,987,963.00","$15,050,000.00","$31,075,000.00","$31,025,000.00","$31,000,000.00","$28,000,000.00","$23,000,000.00","$17,000,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00",,"$288,638,340"
23,Miguel Sanó,3B,5/11/1993,CPX | DSL | R,18.00,8.00,,,,,,,"$263,456.00","$547,500.00","$572,500.00","$463,177.00","$2,650,000.00","$5,111,111.00","$11,000,000.00","$12,000,000.00",,"$875,000.00",,,,,,,,,,,,,,,,,,,"$33,482,744"
24,Drew Pomeranz,LHP,11/22/1988,MLB,23.00,13.30,,,"$49,764.00","$309,514.00","$222,240.00","$369,781.00","$517,500.00","$2,102,460.00","$4,450,000.00","$8,500,000.00","$1,500,000.00","$3,481,481.00","$8,000,000.00","$10,000,000.00","$10,000,000.00","$64,516.00","$1,282,258.00","$4,000,000.00",,,,,,,,,,,,,,,,,"$54,799,750"
25,Travis d’Arnaud,C,2/10/1989,AA,23.00,8.20,,,,,"$117,814.00","$457,707.00","$525,424.00","$542,604.00","$1,875,000.00","$3,475,000.00","$1,289,058.00","$2,962,963.00","$8,000,000.00","$8,000,000.00","$8,000,000.00","$8,000,000.00","$6,000,000.00","$6,000,000.00",,,,,,,,,,,,,,,,,"$55,245,570"
26,Jarrod Parker,RHP,11/24/1988,MLB,23.00,6.50,,,"$414,000.00","$480,000.00","$495,000.00","$500,000.00","$850,000.00","$850,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,175,000"
27,Anthony Rendon,3B,6/6/1990,other,21.00,34.20,,,"$1,800,000.00","$1,800,000.00","$1,800,000.00","$2,700,000.00","$2,500,000.00","$2,800,000.00","$5,800,000.00","$12,300,000.00","$18,800,000.00","$13,444,444.00","$27,500,000.00","$36,000,000.00","$37,182,796.00","$38,000,000.00","$38,000,000.00",,,"$12,666,666.00","$12,666,666.00","$12,666,668.00",,,,,,,,,,,,,"$276,627,240"
28,Zack Wheeler,RHP,5/30/1990,A+,21.00,40.20,,,,,"$262,404.00","$512,375.00","$546,250.00","$546,250.00","$800,000.00","$1,900,000.00","$5,975,000.00","$7,962,963.00","$22,500,000.00","$26,000,000.00","$24,500,000.00","$23,500,000.00","$42,000,000.00","$42,000,000.00","$42,000,000.00",,,,,,,,,,,,,,,,"$241,005,242"
29,Martin Pérez,LHP,4/4/1991,AAA,20.00,15.60,,,,"$480,000.00","$384,459.00","$1,750,000.00","$1,000,000.00","$2,900,000.00","$4,400,000.00","$6,000,000.00","$4,750,000.00","$2,922,222.00","$5,000,000.00","$4,000,000.00","$19,650,000.00","$8,000,000.00","$5,000,000.00","$3,314,312.00",,,,,,,,,,,,,,,,,"$69,550,993"
30,Carlos Martínez,RHP,9/21/1991,A+,20.00,13.80,,,,,"$195,464.00","$460,846.00","$520,000.00","$539,000.00","$4,500,000.00","$11,500,000.00","$11,500,000.00","$4,259,259.00","$12,000,000.00",,,,,,,,,,,,,,,,,,,,,,"$45,474,569"
31,Mike Montgomery,LHP,7/1/1989,AAA,22.00,5.90,,,,,,,"$246,816.00","$515,000.00","$570,500.00","$611,250.00","$2,440,000.00","$1,148,148.00",,,,,,,,,,,,,,,,,,,,,,,"$5,531,714"
32,Francisco Lindor,SS,11/14/1993,CPX | DSL | R,18.00,55.60,,,,,,,"$316,147.00","$540,300.00","$579,300.00","$623,200.00","$10,550,000.00","$6,481,481.00","$22,300,000.00","$48,000,000.00","$27,050,000.00","$27,075,000.00","$27,050,000.00","$27,000,000.00","$27,000,000.00","$27,000,000.00","$27,000,000.00","$27,000,000.00","$27,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00",,"$382,565,428"
33,Brett Jackson,OF,8/2/1988,AAA,23.00,0.00,,,,"$157,377.00",,"$46,448.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$203,825"
34,Billy Hamilton,SS,9/9/1990,A,21.00,9.80,,,,,"$77,650.00","$500,000.00","$545,000.00","$570,000.00","$2,625,000.00","$4,600,000.00","$5,450,000.00","$281,926.00","$1,250,000.00","$367,049.00","$231,168.00",,,,,,,,,,,,,,,,,,,,"$16,497,793"
35,Christian Yelich,OF,12/5/1991,A,20.00,45.10,,,,,"$180,983.00","$505,000.00","$570,000.00","$1,000,000.00","$3,500,000.00","$7,000,000.00","$9,750,000.00","$4,629,630.00","$14,000,000.00","$22,000,000.00","$22,000,000.00","$22,050,000.00","$22,000,000.00","$22,000,000.00","$22,000,000.00","$22,000,000.00","$6,500,000.00",,"$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,337.00","$229,685,613"
36,Arodys Vizcaíno,RHP,11/13/1990,MLB,21.00,3.70,,,"$113,736.00","$480,000.00","$491,000.00","$73,770.00","$252,363.00","$897,500.00","$1,550,000.00","$3,400,000.00","$4,800,000.00",,,"$104,405.00",,,,,,,,,,,,,,,,,,,,,"$12,049,038"
37,Anthony Rizzo,1B,8/8/1989,MLB,22.00,40.40,,,"$149,311.00","$480,000.00","$2,750,000.00","$1,250,000.00","$5,000,000.00","$5,000,000.00","$7,000,000.00","$7,000,000.00","$11,000,000.00","$6,111,111.00","$33,000,000.00","$16,000,000.00","$17,000,000.00","$23,000,000.00",,,,,,,,,,,,,,,,,,,"$134,591,111"
38,Matt Harvey,RHP,3/27/1989,AA,22.00,9.30,,,,"$480,000.00","$498,750.00","$606,625.00","$614,125.00","$4,325,000.00","$5,040,983.00","$5,625,000.00","$11,000,000.00","$130,339.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,"$29,320,822"
39,Yonder Alonso,1B,4/8/1987,MLB,24.00,8.60,"$800,000.00","$900,000.00","$1,000,000.00","$1,400,000.00","$1,120,000.00","$980,000.00","$1,650,000.00","$2,650,000.00","$4,000,000.00","$7,000,000.00","$8,000,000.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"$27,800,000"
40,Starling Marte,OF,10/9/1988,AA,23.00,39.30,,,,"$183,610.00","$500,000.00","$2,500,000.00","$1,000,000.00","$3,000,000.00","$2,814,207.00","$7,500,000.00","$10,000,000.00","$4,259,259.00","$12,500,000.00","$17,000,000.00","$22,000,000.00","$19,500,000.00","$19,500,000.00","$1,000,000.00",,,,,,,,,,,,,,,,,"$123,257,076"
41,Dellin Betances,RHP,3/23/1988,MLB,23.00,11.10,,,"$414,000.00",,"$104,426.00","$502,100.00","$507,500.00","$507,500.00","$3,000,000.00","$5,100,000.00","$7,250,000.00","$6,411,815.00","$6,000,000.00",,,,,,,,,,,,,,,,,,,,,,"$29,383,341"
42,Randall Delgado,RHP,2/9/1990,MLB,22.00,2.30,,,,"$480,000.00","$292,131.00","$510,000.00","$526,000.00","$1,275,000.00","$1,775,000.00","$2,293,950.00",,,,,,,,,,,,,,,,,,,,,,,,,"$7,152,081"
43,Mike Olt,3B,8/27/1988,A+,23.00,-1.50,,"$717,300.00",,"$165,245.00",,"$384,043.00","$79,562.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$628,850"
44,Jon Singleton,1B,9/18/1991,A+,20.00,-1.20,,,,,,"$1,500,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$936,170.00","$500,000.00","$250,000.00","$250,000.00",,"$263,228.00","$850,000.00","$303,492.00",,,,,,,,,,,,,,,,,,"$10,852,890"
45,Zach Lee,RHP,9/13/1991,A,20.00,-0.30,,,,,,,"$16,639.00","$8,319.00","$535,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$559,958"
46,Hak-Ju Lee,SS,11/4/1990,AA,21.00,,,,,,,"$500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000"
47,Jake Odorizzi,RHP,3/27/1990,AA,21.00,13.40,,,,"$480,000.00","$66,939.00","$503,100.00","$522,000.00","$520,700.00","$4,100,000.00","$6,300,000.00","$9,500,000.00","$6,592,593.00","$8,000,000.00","$7,500,000.00","$14,500,000.00",,,,,,,,,,,,,,,,,,,,"$58,585,332"
48,Gary Brown,OF,9/28/1988,A+,23.00,0.10,,"$1,450,000.00",,,,"$71,038.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,038"
49,Wily Peralta,RHP,5/8/1989,AAA,22.00,4.30,,,,"$480,000.00","$490,000.00","$515,000.00","$525,500.00","$2,800,000.00","$4,275,000.00","$1,500,000.00","$2,275,000.00","$1,000,000.00","$1,500,000.00","$2,311,852.00",,,,,,,,,,,,,,,,,,,,,"$17,672,352"
50,Casey Kelly,RHP,10/4/1989,AA,22.00,-1.30,,,,,"$491,400.00","$501,400.00","$55,464.00","$507,500.00",,"$123,060.00",,,,,,"$19,890.00","$28,602.00",,,,,,,,,,,,,,,,,,"$1,727,316"
51,Nicholas Castellanos,3B,3/4/1992,A,19.00,13.00,,,,,"$80,327.00","$500,000.00","$525,000.00","$536,500.00","$3,000,000.00","$6,050,000.00","$9,950,000.00","$5,925,926.00","$13,924,496.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00",,,,,,,,,,,,,,,,,"$140,492,249"
52,Nick Franklin,SS,3/2/1991,AA,20.00,1.30,,,,,"$337,377.00","$845,710.00","$298,722.00","$191,337.00","$333,222.00","$427,780.00",,,,,,,,,,,,,,,,,,,,,,,,,"$2,434,148"
53,Gary Sánchez,C,12/2/1992,A,19.00,14.30,,,,,,,"$58,237.00","$171,926.00","$557,900.00","$620,400.00","$669,800.00","$1,851,852.00","$6,350,000.00","$9,000,000.00","$1,500,000.00","$7,000,000.00","$8,500,000.00","$1,750,000.00",,,,,,,,,,,,,,,,,"$38,030,115"
54,Trevor May,RHP,9/23/1989,A+,22.00,3.70,,,,,,"$139,344.00","$493,278.00","$545,000.00","$555,000.00","$650,000.00","$900,000.00","$816,667.00","$8,000,000.00","$7,750,000.00","$7,125,000.00",,,,,,,,,,,,,,,,,,,,"$26,974,289"
55,Jean Segura,SS,3/17/1990,A+,21.00,26.30,,,,"$170,495.00","$492,000.00","$534,000.00","$534,000.00","$2,600,000.00","$6,200,000.00","$12,000,000.00","$15,350,000.00","$5,277,777.00","$14,250,000.00","$15,250,000.00","$6,500,000.00","$10,500,000.00",,,,,,,,,,,,,,,,,,,"$89,658,272"
56,Will Middlebrooks,3B,9/9/1988,AAA,23.00,-0.60,,,,"$480,000.00","$372,819.00","$540,500.00","$318,983.00","$1,200,000.00","$90,613.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$3,002,915"
57,Anthony Gose,OF,8/10/1990,AA,21.00,1.90,,,,,"$166,010.00","$297,814.00","$515,000.00","$525,000.00",,,,,"$39,871.00","$702,900.00",,"$69,888.00",,,,,,,,,,,,,,,,,,,"$2,316,483"
58,Jake Marisnick,OF,3/30/1991,A,20.00,11.60,,,,,"$184,782.00","$500,000.00","$511,200.00","$519,500.00","$1,100,000.00","$1,900,000.00","$2,212,500.00","$1,226,852.00","$1,500,000.00","$1,300,000.00","$680,097.00",,,,,,,,,,,,,,,,,,,,"$11,634,931"
59,Michael Choice,OF,11/10/1989,A+,22.00,-2.00,,,,,"$80,327.00","$96,010.00","$5,598.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$181,935"
60,Rymer Liriano,OF,6/20/1991,A+,20.00,-0.40,,,,,,"$133,879.00",,"$508,500.00","$87,690.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$730,069"
61,Jarred Cosart,RHP,5/25/1990,AA,21.00,4.20,,,,,"$187,431.00","$500,000.00","$354,098.00","$279,465.00","$566,300.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,887,294"
62,Javier Báez,SS,12/1/1992,CPX | DSL | R,19.00,27.40,,,,,,"$150,273.00","$91,516.00","$521,000.00","$609,000.00","$657,000.00","$5,200,000.00","$3,703,704.00","$11,650,000.00","$20,000,000.00","$22,000,000.00","$25,000,000.00","$25,050,000.00","$24,000,000.00","$24,000,000.00",,,,,,,,,,,,,,,,"$162,632,493"
63,Wilin Rosario,C,2/23/1989,MLB,23.00,1.60,,,,"$480,000.00","$491,000.00","$502,000.00","$2,800,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,273,000"
64,Bryce Brentz,OF,12/30/1988,A+,23.00,0.00,,,,,,"$30,054.00",,"$133,104.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$163,158"
65,Andrelton Simmons,SS,9/4/1989,A+,22.00,36.50,,,,"$149,508.00","$491,250.00","$2,000,000.00","$3,000,000.00","$6,000,000.00","$8,000,000.00","$11,000,000.00","$13,000,000.00","$4,757,308.00","$10,500,000.00","$4,000,000.00",,,,,,,,,,,,,,,,,,,,,"$62,898,066"
66,Chad Bettis,RHP,4/26/1989,A+,22.00,2.60,,,,,"$163,333.00",,"$396,571.00","$512,500.00","$515,194.00","$2,000,000.00","$3,325,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$6,912,598"
67,Garrett Richards,RHP,5/27/1988,MLB,23.00,8.30,,,"$414,000.00","$480,000.00","$495,000.00","$520,000.00","$3,200,000.00","$6,425,000.00","$6,850,000.00","$7,300,000.00","$7,000,000.00","$3,889,148.00","$11,000,000.00","$5,500,000.00",,,,,,,,,,,,,,,,,,,,,"$52,659,148"
68,Yasmani Grandal,C,11/8/1988,AAA,23.00,20.20,,"$3,390,000.00","$414,000.00","$480,000.00","$490,000.00","$792,000.00","$693,000.00","$2,800,000.00","$5,500,000.00","$7,900,000.00","$18,250,000.00","$6,759,259.00","$18,250,000.00","$18,250,000.00","$18,250,000.00","$2,500,000.00",,,,,,,,,,,,,,,,,,,"$100,914,259"
69,Josh Bell,OF,8/14/1992,other,19.00,8.70,,,,,,,,"$146,969.00","$549,000.00","$572,500.00","$587,000.00","$1,777,778.00","$6,350,000.00","$10,000,000.00","$16,500,000.00","$16,500,000.00","$6,000,000.00","$5,750,000.00","$1,250,000.00",,,,,,,,,,,,,,,,"$65,983,247"
70,Nathan Eovaldi,RHP,2/13/1990,MLB,22.00,24.90,,,"$119,901.00","$480,000.00","$502,000.00","$517,000.00","$3,300,000.00","$5,600,000.00","$2,000,000.00","$2,000,000.00","$17,000,000.00","$6,296,296.00","$17,000,000.00","$17,000,000.00","$19,600,000.00","$19,000,000.00","$30,100,000.00","$25,000,000.00","$20,000,000.00",,,,,,,,,,,,,,,,"$185,395,296"
71,Jedd Gyorko,3B,9/23/1988,AA,23.00,9.30,,,,,"$490,000.00","$510,900.00","$2,000,000.00","$4,000,000.00","$4,500,000.00","$11,500,000.00","$13,999,999.00","$1,370,370.00",,,,,,,,,,,,,,,,,,,,,,,"$38,371,269"
72,Aaron Hicks,OF,10/2/1989,A+,22.00,13.20,,,,,"$332,072.00","$288,415.00","$408,060.00","$574,000.00","$1,350,000.00","$2,825,000.00","$8,000,000.00","$3,888,888.00","$10,500,000.00","$10,500,000.00","$10,500,000.00","$9,500,000.00","$10,785,714.00","$1,000,000.00",,,,,,,,,,,,,,,,,"$70,452,149"
73,Mason Williams,OF,8/21/1991,CPX | DSL | R,20.00,-0.50,,,,,,,"$321,693.00","$52,915.00","$535,000.00","$196,310.00","$80,568.00","$52,955.00","$383,375.00",,,,,,,,,,,,,,,,,,,,,,"$1,622,816"
74,Chris Archer,RHP,9/26/1988,AAA,23.00,13.50,,,,"$91,805.00","$326,666.00","$1,500,000.00","$1,000,000.00","$2,750,000.00","$4,750,000.00","$6,250,000.00","$7,500,000.00","$3,583,333.00","$6,500,000.00","$3,500,000.00",,,,,,,,,,,,,,,,,,,,,"$37,751,804"
75,Brad Peacock,RHP,2/2/1988,MLB,24.00,4.70,,,"$414,000.00","$480,000.00","$270,437.00","$476,742.00","$515,800.00","$113,693.00","$541,500.00","$2,440,000.00","$3,110,000.00","$1,444,444.00","$39,871.00",,,,,,,,,,,,,,,,,,,,,,"$9,432,487"
76,Xander Bogaerts,SS,10/1/1992,A,19.00,42.00,,,,,"$112,459.00","$517,000.00","$543,000.00","$650,500.00","$4,500,000.00","$7,050,000.00","$12,000,000.00","$7,407,407.00","$20,000,000.00","$20,000,000.00","$30,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00",,,,,,,,,,"$352,780,366"
77,James Paxton,LHP,11/6/1988,AA,23.00,13.80,,,,,"$13,230.00","$74,286.00","$519,000.00","$507,500.00","$2,350,000.00","$4,900,000.00","$8,575,000.00","$4,629,630.00","$8,500,000.00","$6,000,000.00","$4,000,000.00","$9,000,000.00",,,,,,,,,,,,,,,,,,,"$49,068,646"
78,Jesse Biddle,RHP,10/22/1991,A,20.00,-0.60,,,,,,,,"$507,500.00",,"$486,380.00","$908,870.00","$108,070.00","$92,010.00",,,,,,,,,,,,,,,,,,,,,,"$2,102,830"
79,Allen Webster,RHP,2/10/1990,AA,22.00,-2.40,,,,,"$117,814.00","$177,595.00","$135,887.00",,,"$35,160.00","$650,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,116,456"
80,Brody Colvin,RHP,8/14/1990,A+,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
81,Cory Spangenberg,2B,3/16/1991,A,20.00,4.10,,,,,,"$76,502.00","$508,500.00","$517,700.00","$545,000.00","$1,700,000.00","$238,724.00",,,"$15,384.00",,,,,,,,,,,,,,,,,,,,,"$3,601,810"
82,Drew Smyly,LHP,6/13/1989,AA,22.00,11.80,,,,"$390,819.00","$498,000.00","$520,000.00","$2,650,000.00","$3,750,000.00","$6,850,000.00","$3,000,000.00","$7,211,855.00","$1,574,481.00","$11,000,000.00","$5,250,000.00","$10,000,000.00","$13,000,000.00",,,,,,,,,,,,,,,,,,,"$65,695,155"
83,Alex Meyer,RHP,1/3/1990,other,22.00,0.70,,,,,,,"$22,185.00","$108,147.00","$535,000.00","$551,500.00",,,,,,,,,,,,,,,,,,,,,,,,,"$1,216,832"
84,George Springer,OF,9/19/1989,CPX | DSL | R,22.00,42.30,,,,,,"$453,512.00","$512,900.00","$522,400.00","$3,900,000.00","$12,000,000.00","$12,000,000.00","$7,777,778.00","$32,000,000.00","$28,000,000.00","$22,500,000.00","$22,500,000.00","$22,550,000.00","$22,500,000.00",,,,,,,,,,,,,,,,,"$187,216,590"
85,Sonny Gray,RHP,11/7/1989,AA,22.00,33.50,,,,,"$163,333.00","$502,500.00","$512,500.00","$527,500.00","$3,575,000.00","$6,500,000.00","$8,300,000.00","$3,999,963.00","$10,700,000.00","$11,700,000.00","$13,300,000.00","$10,000,000.00","$25,000,000.00","$31,000,000.00","$1,000,000.00",,,,,,,,,,,,,,,,"$126,780,796"
86,Sammy Solis,RHP,8/10/1988,A+,23.00,0.20,,,,,,,"$146,980.00","$507,500.00","$480,102.00","$403,608.00","$137,096.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,675,286"
87,Matt Dominguez,3B,8/28/1989,MLB,22.00,1.20,,,"$414,000.00","$480,000.00","$491,800.00","$510,100.00",,"$507,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,989,400"
88,A.J. Cole,RHP,1/5/1992,A,20.00,0.90,,,,,,,"$124,795.00","$122,012.00","$166,611.00","$546,255.00","$555,000.00","$208,703.00","$795,648.00",,,,,,,,,,,,,,,,,,,,,,"$2,519,024"
89,Leonys Martin,OF,3/6/1988,MLB,23.00,11.30,,,"$5,500,000.00","$1,250,000.00","$2,250,000.00","$2,750,000.00","$3,750,000.00","$4,150,000.00","$4,850,000.00","$1,750,000.00","$3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$23,750,000"
